id;first_name;last_name;email;phone_number;rating
1;Carli;Kassulke;Alessandro_Hammes@gmail.com;Lead parse Licensed;41214
2;Cristobal;Bashirian;Adela.Paucek@gmail.com;Account SAS Pizza;51189
3;Delfina;Donnelly;Clifton_DuBuque98@gmail.com;Ergonomic Checking magnetic;11684
4;Alden;McKenzie;Joannie_Okuneva39@gmail.com;copy override;67500
5;Estella;Champlin;Buster8@yahoo.com;web-readiness white;52497
6;Derrick;Quigley;Earnestine.Windler24@gmail.com;card Springs synthesize;51979
7;Trey;Effertz;Lorenz_Senger77@hotmail.com;Strategist;75546
8;Meredith;Schowalter;Rick_Harris@yahoo.com;open Checking;79418
9;Haven;Walter;Sophia.Skiles24@gmail.com;pricing morph Handcrafted;83095
10;Annette;Wyman;Kyra_Beahan13@gmail.com;Checking;91869
